Size,TimeMicroseconds,Threshold
10000,2731,20
500,137,20
600,164,20
700,192,20
800,220,20
900,358,20
1000,278,20
1100,305,20
1200,331,20
1300,362,20
1400,391,20
1500,494,20
1600,362,20
1700,475,20
1800,638,20
1900,539,20
2000,559,20
2100,587,20
2200,619,20
2300,651,20
2400,672,20
2500,975,20
2600,957,20
2700,1163,20
2800,774,20
2900,938,20
3000,866,20
3100,918,20
3200,1028,20
3300,1300,20
3400,1508,20
3500,1594,20
3600,1638,20
3700,949,20
3800,1659,20
3900,1069,20
4000,1135,20
4100,1168,20
4200,1755,20
4300,1756,20
4400,1843,20
4500,1386,20
4600,1654,20
4700,1343,20
4800,1364,20
4900,1477,20
5000,1457,20
5100,1393,20
5200,1959,20
5300,1541,20
5400,1529,20
5500,1595,20
5600,1609,20
5700,1656,20
5800,1619,20
5900,1752,20
6000,1759,20
6100,1691,20
6200,1751,20
6300,1735,20
6400,1723,20
6500,2747,20
6600,1916,20
6700,1927,20
6800,1929,20
6900,2588,20
7000,1982,20
7100,2048,20
7200,1829,20
7300,2056,20
7400,2110,20
7500,2104,20
7600,2007,20
7700,1993,20
7800,2160,20
7900,2126,20
8000,2182,20
8100,3465,20
8200,2118,20
8300,2318,20
8400,2546,20
8500,2426,20
8600,2484,20
8700,3500,20
8800,2544,20
8900,2446,20
9000,3785,20
9100,3779,20
9200,2428,20
9300,2452,20
9400,2677,20
9500,2537,20
9600,2620,20
9700,2547,20
9800,2868,20
9900,2656,20
10000,2606,20
