Size,TimeMicroseconds
500,54
600,78
700,71
800,76
900,106
1000,111
1100,120
1200,98
1300,153
1400,168
1500,164
1600,201
1700,233
1800,231
1900,200
2000,252
2100,264
2200,266
2300,263
2400,290
2500,218
2600,325
2700,295
2800,261
2900,386
3000,398
3100,358
3200,372
3300,458
3400,503
3500,521
3600,490
3700,489
3800,454
3900,375
4000,571
4100,487
4200,594
4300,535
4400,587
4500,646
4600,539
4700,668
4800,616
4900,701
5000,605
5100,714
5200,671
5300,610
5400,495
5500,753
5600,719
5700,763
5800,867
5900,576
6000,735
6100,702
6200,828
6300,749
6400,619
6500,890
6600,1029
6700,845
6800,806
6900,929
7000,856
7100,885
7200,818
7300,896
7400,883
7500,1032
7600,993
7700,1083
7800,913
7900,1049
8000,973
8100,1171
8200,949
8300,984
8400,1313
8500,1026
8600,1046
8700,1236
8800,1053
8900,1105
9000,1144
9100,1071
9200,1467
9300,1249
9400,1373
9500,1449
9600,1010
9700,1427
9800,1521
9900,1422
10000,1444
