Size,TimeMicroseconds,Threshold
10000,3572,100
500,174,100
600,206,100
700,243,100
800,278,100
900,452,100
1000,349,100
1100,390,100
1200,426,100
1300,668,100
1400,495,100
1500,675,100
1600,847,100
1700,630,100
1800,917,100
1900,684,100
2000,712,100
2100,1073,100
2200,801,100
2300,827,100
2400,880,100
2500,913,100
2600,1163,100
2700,999,100
2800,1201,100
2900,1377,100
3000,1303,100
3100,1316,100
3200,1350,100
3300,1438,100
3400,1807,100
3500,1513,100
3600,1934,100
3700,1374,100
3800,1404,100
3900,1441,100
4000,1483,100
4100,1448,100
4200,1567,100
4300,2257,100
4400,1664,100
4500,1701,100
4600,1732,100
4700,2264,100
4800,1830,100
4900,1911,100
5000,1744,100
5100,2233,100
5200,2297,100
5300,2698,100
5400,2066,100
5500,2407,100
5600,2013,100
5700,2138,100
5800,2145,100
5900,2868,100
6000,2272,100
6100,2132,100
6200,2185,100
6300,2236,100
6400,2392,100
6500,2408,100
6600,2375,100
6700,2282,100
6800,2345,100
6900,2530,100
7000,2523,100
7100,2521,100
7200,3668,100
7300,3241,100
7400,2626,100
7500,3650,100
7600,2763,100
7700,2729,100
7800,2960,100
7900,2945,100
8000,3554,100
8100,3014,100
8200,2800,100
8300,2944,100
8400,3856,100
8500,3925,100
8600,2968,100
8700,3179,100
8800,3833,100
8900,4012,100
9000,3126,100
9100,4128,100
9200,3182,100
9300,4190,100
9400,3313,100
9500,4493,100
9600,3290,100
9700,3423,100
9800,3557,100
9900,3464,100
10000,4547,100
